! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2013DRR_081413_Future.xls
AnnualReqDel_swp
Year             AG               MWD              OTH              LOSS             Total
             1921           1011.7           1911.5           1246.9             64.5           4234.6
             1922           1011.7           1911.5           1246.9             64.5           4234.6
             1923           1011.7           1911.5           1246.9             64.5           4234.6
             1924           1011.7           1911.5           1246.9             64.5           4234.6
             1925           1011.7           1911.5           1246.9             64.5           4234.6
             1926           1011.7           1911.5           1246.9             64.5           4234.6
             1927           1011.7           1911.5           1246.9             64.5           4234.6
             1928           1011.7           1911.5           1246.9             64.5           4234.6
             1929           1011.7           1911.5           1246.9             64.5           4234.6
             1930           1011.7           1911.5           1246.9             64.5           4234.6
             1931           1011.7           1911.5           1246.9             64.5           4234.6
             1932           1011.7           1911.5           1246.9             64.5           4234.6
             1933           1011.7           1911.5           1246.9             64.5           4234.6
             1934           1011.7           1911.5           1246.9             64.5           4234.6
             1935           1011.7           1911.5           1246.9             64.5           4234.6
             1936           1011.7           1911.5           1246.9             64.5           4234.6
             1937           1011.7           1911.5           1246.9             64.5           4234.6
             1938           1011.7           1911.5           1246.9             64.5           4234.6
             1939           1011.7           1911.5           1246.9             64.5           4234.6
             1940           1011.7           1911.5           1246.9             64.5           4234.6
             1941           1011.7           1911.5           1246.9             64.5           4234.6
             1942           1011.7           1911.5           1246.9             64.5           4234.6
             1943           1011.7           1911.5           1246.9             64.5           4234.6
             1944           1011.7           1911.5           1246.9             64.5           4234.6
             1945           1011.7           1911.5           1246.9             64.5           4234.6
             1946           1011.7           1911.5           1246.9             64.5           4234.6
             1947           1011.7           1911.5           1246.9             64.5           4234.6
             1948           1011.7           1911.5           1246.9             64.5           4234.6
             1949           1011.7           1911.5           1246.9             64.5           4234.6
             1950           1011.7           1911.5           1246.9             64.5           4234.6
             1951           1011.7           1911.5           1246.9             64.5           4234.6
             1952           1011.7           1911.5           1246.9             64.5           4234.6
             1953           1011.7           1911.5           1246.9             64.5           4234.6
             1954           1011.7           1911.5           1246.9             64.5           4234.6
             1955           1011.7           1911.5           1246.9             64.5           4234.6
             1956           1011.7           1911.5           1246.9             64.5           4234.6
             1957           1011.7           1911.5           1246.9             64.5           4234.6
             1958           1011.7           1911.5           1246.9             64.5           4234.6
             1959           1011.7           1911.5           1246.9             64.5           4234.6
             1960           1011.7           1911.5           1246.9             64.5           4234.6
             1961           1011.7           1911.5           1246.9             64.5           4234.6
             1962           1011.7           1911.5           1246.9             64.5           4234.6
             1963           1011.7           1911.5           1246.9             64.5           4234.6
             1964           1011.7           1911.5           1246.9             64.5           4234.6
             1965           1011.7           1911.5           1246.9             64.5           4234.6
             1966           1011.7           1911.5           1246.9             64.5           4234.6
             1967           1011.7           1911.5           1246.9             64.5           4234.6
             1968           1011.7           1911.5           1246.9             64.5           4234.6
             1969           1011.7           1911.5           1246.9             64.5           4234.6
             1970           1011.7           1911.5           1246.9             64.5           4234.6
             1971           1011.7           1911.5           1246.9             64.5           4234.6
             1972           1011.7           1911.5           1246.9             64.5           4234.6
             1973           1011.7           1911.5           1246.9             64.5           4234.6
             1974           1011.7           1911.5           1246.9             64.5           4234.6
             1975           1011.7           1911.5           1246.9             64.5           4234.6
             1976           1011.7           1911.5           1246.9             64.5           4234.6
             1977           1011.7           1911.5           1246.9             64.5           4234.6
             1978           1011.7           1911.5           1246.9             64.5           4234.6
             1979           1011.7           1911.5           1246.9             64.5           4234.6
             1980           1011.7           1911.5           1246.9             64.5           4234.6
             1981           1011.7           1911.5           1246.9             64.5           4234.6
             1982           1011.7           1911.5           1246.9             64.5           4234.6
             1983           1011.7           1911.5           1246.9             64.5           4234.6
             1984           1011.7           1911.5           1246.9             64.5           4234.6
             1985           1011.7           1911.5           1246.9             64.5           4234.6
             1986           1011.7           1911.5           1246.9             64.5           4234.6
             1987           1011.7           1911.5           1246.9             64.5           4234.6
             1988           1011.7           1911.5           1246.9             64.5           4234.6
             1989           1011.7           1911.5           1246.9             64.5           4234.6
             1990           1011.7           1911.5           1246.9             64.5           4234.6
             1991           1011.7           1911.5           1246.9             64.5           4234.6
             1992           1011.7           1911.5           1246.9             64.5           4234.6
             1993           1011.7           1911.5           1246.9             64.5           4234.6
             1994           1011.7           1911.5           1246.9             64.5           4234.6
             1995           1011.7           1911.5           1246.9             64.5           4234.6
             1996           1011.7           1911.5           1246.9             64.5           4234.6
             1997           1011.7           1911.5           1246.9             64.5           4234.6
             1998           1011.7           1911.5           1246.9             64.5           4234.6
             1999           1011.7           1911.5           1246.9             64.5           4234.6
             2000           1011.7           1911.5           1246.9             64.5           4234.6
             2001           1011.7           1911.5           1246.9             64.5           4234.6
             2002           1011.7           1911.5           1246.9             64.5           4234.6
             2003           1011.7           1911.5           1246.9             64.5           4234.6
