EstExpCVP
Index   MarAug  AprAug  MayAug                         
0.0 0   0   0
3.0 450 230 165
3.5 520 320 260
4.0 560 340 320
5.0 638 483 443
5.5 725 625 585
6.0 778 688 678
6.5 830 710 680
7.0 878 763 663
8.0 885 795 675
9.0 938 813 738
10.0    960 840 780
12.0    1013    893 843
99.0    1125    925 845
!0   0   0   0
!3   450 230 165
!3.5 520 320 260
!4   560 340 320
!5   630 475 435
!5.5 710 610 570
!6   755 665 655
!6.5 800 680 650
!7   840 725 625
!8   840 750 630
!9   885 760 685
!10  900 780 720
!12  945 825 775
!99  1050    850 770
!0   0   0   0
!3   450 230 165
!3.5 520 320 260
!4   560 340 320
!5   625 470 430
!5.5 700 600 560
!6   740 650 640
!6.5 780 660 630
!7   815 700 600
!8   810 720 600
!9   850 725 650
!10  860 740 680
!12  900 780 730
!99  1000    800 720
!0       0       0       0
!3.0     450     230     165
!3.5     520     320     260
!4.0     560     340     320
!5.0     645     490     450
!5.5     740     640     600
!6.0     800     710     700
!6.5     860     740     710
!7.0     915     800     700
!8.0     930     840     720
!9.0     990     865     790
!10.0    1020    900     840
!12.0    1080    960     910
!99.0    1200    1000    920
!0       0       0       0
!3.0     450     230     165
!3.5     520     320     260
!4.0     560     340     320
!5.0     685     520     503
!5.5     770     670     650
!6.0     800     710     700
!6.5     860     740     710
!7.0     915     800     700
!8.0     950     860     800
!9.0     1030    930     900
!10.0    1080    970     920
!12.0    1180    990     940
!99.0    1200    1000    950
