! Kellogg Creek Inflow 
! Data Source: 2003 to 2014 data, certain adjustments made 
! Wyear_type = water year type (SAC_index), month = month (OCT = 1)
! Source information: April 2004 Planning Report
! 1=wet, 5=crit
Kellogg_Creek_Inflow ! cfs
wyear_type	month	KC_inflow
5	1	0.218447081
5	2	0.089586777
5	3	0.182236464
5	4	0.045322581
5	5	0.25218152
5	6	0.147096774
5	7	0.1105
5	8	0.033709677
5	9	0.000166667
5	10	0.005967742
5	11	0
5	12	0
4	1	0.002580645
4	2	0.001
4	3	0.080952169
4	4	0.160058035
4	5	0.333435961
4	6	0.731918579
4	7	0.72036619
4	8	0.334378728
4	9	0.136303394
4	10	0.033629968
4	11	0.036129032
4	12	0.012306523
3	1	0.004177918
3	2	0.001618943
3	3	0.131056983
3	4	0.259124905
3	5	0.408267616
3	6	1.184934776
3	7	1.166232112
3	8	0.541340246
3	9	0.220667485
3	10	0.054445016
3	11	0.058490859
3	12	0.019923565
2	1	0.02516129
2	2	0.029
2	3	0.146129032
2	4	0.896129032
2	5	1.527321429
2	6	1.885322581
2	7	1.151166667
2	8	0.587903226
2	9	0.052333333
2	10	0.017419355
2	11	0.012096774
2	12	0.0045
1	1	0
1	2	0
1	3	0.215009839
1	4	0.962395361
1	5	0.728599469
1	6	3.619981338
1	7	5.394932507
1	8	1.071739536
1	9	0.442538567
1	10	0.032258065
1	11	0
1	12	0
