! LV Precipitation 
! Data Source: 2003 to 2014 LV rainfall from http://www.wrcc.dri.edu/cgi-bin/rawMAIN.pl?caCLVQ
! 1998 to 2002 adjusted from Mallory rainfall (by a factor of 0.6) http://www.wrcc.dri.edu/cgi-bin/rawMAIN.pl?caCMLR
! Wyear_type = water year type (SAC_index), month = month (OCT = 1)
! 5= crit, 1=wet
LV_Precipitation ! inch/month
wyear_type	month	LV_rain
5	1	0.124
5	2	0.724
5	3	1.465
5	4	0.816
5	5	1.456658824
5	6	0.91
5	7	0.625
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0.005
4	1	0.515
4	2	0.865
4	3	1.918666667
4	4	2.29
4	5	2.551906977
4	6	1.21
4	7	0.7664
4	8	0.182
4	9	0.044
4	10	0
4	11	0.002
4	12	0.048666667
3	1	0.56
3	2	1.25
3	3	2.3004
3	4	2.359333333
3	5	2.559298246
3	6	1.2732
3	7	1.392
3	8	0.354666667
3	9	0.023333333
3	10	0.003333333
3	11	0.016666667
3	12	0.219333333
2	1	0.5912
2	2	1.8996
2	3	3.246
2	4	2.481333333
2	5	2.7124
2	6	1.954666667
2	7	1.46
2	8	0.5444
2	9	0.069333333
2	10	0.002
2	11	0.042
2	12	0.1452
1	1	1.622666667
1	2	1.929333333
1	3	4.425333333
1	4	3.205
1	5	3.242
1	6	4.171333333
1	7	1.602
1	8	0.718666667
1	9	0.560666667
1	10	0.006666667
1	11	0.018
1	12	0.219333333
