! Seasonal CVP SOD demand - used in calculation of CVP SOD allocation   
! Demand through September
!6      1561  94  140  751  2696
!7      1457  79  135  682  2493
!8      1314  67  122  613  2241
!9      1112  55  97   516  1885
!10     789   44  69   390  1366
!11     395   31  62   241  768
!12     100   16  50   95   272
!
! Demand through August
SeasCVPSODdem                   
month  ag    mi     rf    ex    ls     tot
1      9999  9999   9999  9999  9999   9999
2      9999  9999   9999  9999  9999   9999
3      9999  9999   9999  9999  9999   9999
4      9999  9999   9999  9999  9999   9999
5      9999  9999   9999  9999  9999   9999
6      1460  78     90    657   139    2424
7      1357  63     85    587   128    2221
8      1214  51     73    518   115    1970
9      1012  39     47    422   94     1614
10     689   28     19    295   64     1095
11     295   15     12    146   29     496
12     9999  9999   9999  9999  9999   9999
