!In order to implement the WIIN pumping actions, January inflows (Shasta+ Folsom + Oroville) 
!were ranked and given the ratio of Water year types as the SACindex
!The same process was repeated for February
WIIN_wetness
wateryear	Jan	Feb
1922	4	2
1923	3	4
1924	5	4
1925	4	1
1926	5	2
1927	2	1
1928	4	3
1929	5	4
1930	3	4
1931	4	5
1932	4	4
1933	5	5
1934	3	4
1935	3	4
1936	1	1
1937	5	4
1938	3	1
1939	4	5
1940	1	1
1941	1	1
1942	1	1
1943	1	2
1944	4	4
1945	4	1
1946	2	4
1947	5	4
1948	2	5
1949	5	4
1950	3	3
1951	1	1
1952	1	1
1953	1	4
1954	2	2
1955	4	5
1956	1	1
1957	4	2
1958	2	1
1959	2	2
1960	4	2
1961	4	3
1962	4	1
1963	3	1
1964	3	4
1965	1	3
1966	2	4
1967	1	2
1968	3	1
1969	1	1
1970	1	2
1971	1	3
1972	3	3
1973	1	1
1974	1	3
1975	4	2
1976	4	5
1977	5	5
1978	1	1
1979	4	3
1980	1	1
1981	3	4
1982	1	1
1983	1	1
1984	1	3
1985	4	4
1986	2	1
1987	4	4
1988	2	5
1989	5	5
1990	4	5
1991	5	5
1992	5	3
1993	1	2
1994	5	5
1995	1	2
1996	2	1
1997	1	2
1998	1	1
1999	2	1
2000	2	1
2001	4	4
2002	2	4
2003	1	3
