trinity_import
month     clair_lev     shasta_lev    critTFFflow  flow
1   1   1   0        0
1   1   2   0        0
1   1   3   0        0
1   1   4   0        0
1   1   5   0        0
1   1   6   0        0
1   2   1   200      200
1   2   2   200      200
1   2   3   200      200
1   2   4   200      200
1   2   5   125      125
1   2   6   0        0
1   3   1   1250     1200
1   3   2   1250     1200
1   3   3   1000     950
1   3   4   750      700
1   3   5   750      625
1   3   6   0        0
1   4   1   1750     1750
1   4   2   1750     1750
1   4   3   1500     1500
1   4   4   1250     1250
1   4   5   750      750
1   4   6   0        0
1   5   1   3250     3250
1   5   2   3250     3250
1   5   3   2750     2750
1   5   4   2500     2500
1   5   5   1500     1500
1   5   6   0        0
2   1   1   0        0
2   1   2   0        0
2   1   3   0        0
2   1   4   0        0
2   1   5   0        0
2   1   6   0        0
2   2   1   75       75
2   2   2   75       75
2   2   3   75       75
2   2   4   50       50
2   2   5   0        0
2   2   6   0        0
2   3   1   750      725
2   3   2   750      725
2   3   3   500      475
2   3   4   500      450
2   3   5   250      250
2   3   6   0        0
2   4   1   1000     1000
2   4   2   1000     1000
2   4   3   750      750
2   4   4   500      500
2   4   5   500      500
2   4   6   0        0
2   5   1   3000     3000
2   5   2   3000     3000
2   5   3   2500     2500
2   5   4   1750     1750
2   5   5   1500     1500
2   5   6   0        0
3   1   1   0        0
3   1   2   0        0
3   1   3   0        0
3   1   4   0        0
3   1   5   0        0
3   1   6   0        0
3   2   1   75       75
3   2   2   75       75
3   2   3   75       75
3   2   4   50       50
3   2   5   0        0
3   2   6   0        0
3   3   1   250      225
3   3   2   250      225
3   3   3   250      225
3   3   4   250      200
3   3   5   100      100
3   3   6   0        0
3   4   1   250      250
3   4   2   250      250
3   4   3   250      250
3   4   4   250      250
3   4   5   100      100
3   4   6   0        0
3   5   1   1000     1000
3   5   2   1000     1000
3   5   3   750      750
3   5   4   500      500
3   5   5   500      500
3   5   6   0        0
4   1   1   0        0
4   1   2   0        0
4   1   3   0        0
4   1   4   0        0
4   1   5   0        0
4   1   6   0        0
4   2   1   75       75
4   2   2   75       75
4   2   3   75       75
4   2   4   50       50
4   2   5   0        0
4   2   6   0        0
4   3   1   250      225
4   3   2   250      225
4   3   3   250      225
4   3   4   250      200
4   3   5   100      100
4   3   6   0        0
4   4   1   250      250
4   4   2   250      250
4   4   3   250      250
4   4   4   250      250
4   4   5   100      100
4   4   6   0        0
4   5   1   250      250
4   5   2   250      250
4   5   3   250      250
4   5   4   250      250
4   5   5   100      100
4   5   6   0        0
5   1   1   0        0
5   1   2   0        0
5   1   3   0        0
5   1   4   0        0
5   1   5   0        0
5   1   6   0        0
5   2   1   75       75
5   2   2   75       75
5   2   3   75       75
5   2   4   50       50
5   2   5   0        0
5   2   6   0        0
5   3   1   250      225
5   3   2   250      225
5   3   3   250      225
5   3   4   250      200
5   3   5   100      100
5   3   6   0        0
5   4   1   250      250
5   4   2   250      250
5   4   3   250      250
5   4   4   250      250
5   4   5   100      100
5   4   6   0        0
5   5   1   250      250
5   5   2   250      250
5   5   3   250      250
5   5   4   250      250
5   5   5   100      100
5   5   6   0        0
6   1   1   0        0
6   1   2   0        0
6   1   3   0        0
6   1   4   0        0
6   1   5   0        0
6   1   6   0        0
6   2   1   75       75
6   2   2   75       75
