wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3877.3087235
1000.0        3877.3087235
1500.0        3877.3087235
2000.0        3877.3087235
2500.0        3877.3087235
3000.0        3877.3087235
3500.0        4236.84752257
4000.0        4746.15579011
4500.0        5095.76721488
5000.0        5837.54868716
5500.0        6469.51238349
6000.0        6949.93840045
6500.0        7575.53295768
7000.0        8341.53464502
7500.0        9042.96359686
8000.0        9950.67314487
8500.0        10853.160554
9000.0        11074.1073457
9500.0        11427.7242201
10000.0        11755.0541284
10500.0        12105.5166733
11000.0        12105.5166733
11500.0        12105.5166733
12000.0        12105.5166733
12500.0        12105.5166733
13000.0        12105.5166733
13500.0        12105.5166733
14000.0        12105.5166733
14500.0        12105.5166733
15000.0        12105.5166733
15500.0        12105.5166733
16000.0        12105.5166733
16500.0        12105.5166733
17000.0        12105.5166733
17500.0        12105.5166733
18000.0        12105.5166733
18500.0        12105.5166733
19000.0        12105.5166733
19500.0        12105.5166733
20000.0        12105.5166733
