wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4295.7850499
1000.0        4295.7850499
1500.0        4295.7850499
2000.0        4295.7850499
2500.0        4295.7850499
3000.0        4295.7850499
3500.0        4295.7850499
4000.0        4295.7850499
4500.0        4295.7850499
5000.0        4295.7850499
5500.0        4518.23644723
6000.0        4881.52138523
6500.0        5444.82059889
7000.0        6026.58836901
7500.0        6772.88768952
8000.0        7319.98447535
8500.0        7744.24110641
9000.0        8271.14188728
9500.0        8891.74991864
10000.0        9644.67987852
10500.0        10358.1388053
11000.0        11008.2374467
11500.0        11311.7984146
12000.0        11560.2563013
12500.0        11657.6947123
13000.0        11742.0301555
13500.0        11965.8880784
14000.0        11965.8880784
14500.0        11965.8880784
15000.0        11965.8880784
15500.0        11965.8880784
16000.0        11965.8880784
16500.0        11965.8880784
17000.0        11965.8880784
17500.0        11965.8880784
18000.0        11965.8880784
18500.0        11965.8880784
19000.0        11965.8880784
19500.0        11965.8880784
20000.0        11965.8880784
