wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4354.96204726
1000.0        4354.96204726
1500.0        4354.96204726
2000.0        4354.96204726
2500.0        4354.96204726
3000.0        4354.96204726
3500.0        4354.96204726
4000.0        4354.96204726
4500.0        4354.96204726
5000.0        4354.96204726
5500.0        4430.61589825
6000.0        4717.46274757
6500.0        5230.89174896
7000.0        6033.67179811
7500.0        6781.51060004
8000.0        7349.90388466
8500.0        7768.1578727
9000.0        8255.97533005
9500.0        8889.26654744
10000.0        9644.61071591
10500.0        10361.2272637
11000.0        11006.973452
11500.0        11310.5831039
12000.0        11559.4840443
12500.0        11652.3684852
13000.0        11741.9337097
13500.0        11965.8811457
14000.0        11965.8811457
14500.0        11965.8811457
15000.0        11965.8811457
15500.0        11965.8811457
16000.0        11965.8811457
16500.0        11965.8811457
17000.0        11965.8811457
17500.0        11965.8811457
18000.0        11965.8811457
18500.0        11965.8811457
19000.0        11965.8811457
19500.0        11965.8811457
20000.0        11965.8811457
