wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1262.75763105
1000.0        1262.75763105
1500.0        1262.75763105
2000.0        1262.75763105
2500.0        1502.91051656
3000.0        2009.94947894
3500.0        2708.32401809
4000.0        3412.22067957
4500.0        4437.27867397
5000.0        5271.27222187
5500.0        5946.6877382
6000.0        7019.00381719
6500.0        7504.88322932
7000.0        7916.78939214
7500.0        8055.30033142
8000.0        8055.30033142
8500.0        8055.30033142
9000.0        8055.30033142
9500.0        8055.30033142
10000.0        8055.30033142
10500.0        8055.30033142
11000.0        8055.30033142
11500.0        8055.30033142
12000.0        8055.30033142
12500.0        8055.30033142
13000.0        8055.30033142
13500.0        8055.30033142
14000.0        8055.30033142
14500.0        8055.30033142
15000.0        8055.30033142
15500.0        8055.30033142
16000.0        8055.30033142
16500.0        8055.30033142
17000.0        8055.30033142
17500.0        8055.30033142
18000.0        8055.30033142
18500.0        8055.30033142
19000.0        8055.30033142
19500.0        8055.30033142
20000.0        8055.30033142
