wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1116.53390422
1000.0        1116.53390422
1500.0        1116.53390422
2000.0        1116.53390422
2500.0        1456.3642318
3000.0        2033.94991155
3500.0        2750.93264423
4000.0        3479.58002098
4500.0        4441.16066183
5000.0        5274.89132043
5500.0        5952.66821997
6000.0        7029.83165472
6500.0        7511.9374168
7000.0        7944.74880788
7500.0        8109.68581875
8000.0        8109.68581875
8500.0        8109.68581875
9000.0        8109.68581875
9500.0        8109.68581875
10000.0        8109.68581875
10500.0        8109.68581875
11000.0        8109.68581875
11500.0        8109.68581875
12000.0        8109.68581875
12500.0        8109.68581875
13000.0        8109.68581875
13500.0        8109.68581875
14000.0        8109.68581875
14500.0        8109.68581875
15000.0        8109.68581875
15500.0        8109.68581875
16000.0        8109.68581875
16500.0        8109.68581875
17000.0        8109.68581875
17500.0        8109.68581875
18000.0        8109.68581875
18500.0        8109.68581875
19000.0        8109.68581875
19500.0        8109.68581875
20000.0        8109.68581875
